# Max Pain Friday Watchlist
# Strategy: max-pain-friday
# Generated: 2026-04-16 14:08:55
# Tickers: 312

CPAY    # Price: $327.67 | Max Pain: $300.00 | Distance: +9.2%
HWM    # Price: $251.09 | Max Pain: $230.00 | Distance: +9.2%
FER    # Price: $71.00 | Max Pain: $65.00 | Distance: +9.2%
PCG    # Price: $17.46 | Max Pain: $16.00 | Distance: +9.1%
DAL    # Price: $70.83 | Max Pain: $65.00 | Distance: +9.0%
DTE    # Price: $147.11 | Max Pain: $135.00 | Distance: +9.0%
SPG    # Price: $201.56 | Max Pain: $185.00 | Distance: +9.0%
APH    # Price: $147.06 | Max Pain: $135.00 | Distance: +8.9%
CRH    # Price: $114.31 | Max Pain: $105.00 | Distance: +8.9%
ON    # Price: $77.41 | Max Pain: $85.00 | Distance: -8.9%
MET    # Price: $77.50 | Max Pain: $85.00 | Distance: -8.8%
TPR    # Price: $151.27 | Max Pain: $139.00 | Distance: +8.8%
KO    # Price: $75.82 | Max Pain: $83.00 | Distance: -8.6%
RMD    # Price: $228.50 | Max Pain: $250.00 | Distance: -8.6%
EBAY    # Price: $100.36 | Max Pain: $92.50 | Distance: +8.5%
FTV    # Price: $59.67 | Max Pain: $55.00 | Distance: +8.5%
DOV    # Price: $216.81 | Max Pain: $200.00 | Distance: +8.4%
GOOGL    # Price: $336.01 | Max Pain: $310.00 | Distance: +8.4%
ROK    # Price: $400.98 | Max Pain: $370.00 | Distance: +8.4%
HPE    # Price: $24.91 | Max Pain: $23.00 | Distance: +8.3%
KKR    # Price: $102.90 | Max Pain: $95.00 | Distance: +8.3%
NTRS    # Price: $157.07 | Max Pain: $145.00 | Distance: +8.3%
XOM    # Price: $151.55 | Max Pain: $140.00 | Distance: +8.3%
MS    # Price: $189.34 | Max Pain: $175.00 | Distance: +8.2%
SW    # Price: $41.31 | Max Pain: $45.00 | Distance: -8.2%
HPQ    # Price: $19.45 | Max Pain: $18.00 | Distance: +8.1%
HSY    # Price: $193.01 | Max Pain: $210.00 | Distance: -8.1%
ISRG    # Price: $457.05 | Max Pain: $497.50 | Distance: -8.1%
ALL    # Price: $215.97 | Max Pain: $200.00 | Distance: +8.0%
FITB    # Price: $49.69 | Max Pain: $46.00 | Distance: +8.0%
NVDA    # Price: $196.89 | Max Pain: $182.50 | Distance: +7.9%
ARES    # Price: $118.68 | Max Pain: $110.00 | Distance: +7.9%
CFG    # Price: $64.75 | Max Pain: $60.00 | Distance: +7.9%
EME    # Price: $798.28 | Max Pain: $740.00 | Distance: +7.9%
JBHT    # Price: $237.35 | Max Pain: $220.00 | Distance: +7.9%
PCAR    # Price: $124.10 | Max Pain: $115.00 | Distance: +7.9%
WAT    # Price: $323.74 | Max Pain: $300.00 | Distance: +7.9%
EQIX    # Price: $1056.67 | Max Pain: $980.00 | Distance: +7.8%
COF    # Price: $201.87 | Max Pain: $187.50 | Distance: +7.7%
MCD    # Price: $307.20 | Max Pain: $332.50 | Distance: -7.6%
WBD    # Price: $27.25 | Max Pain: $29.50 | Distance: -7.6%
INSM    # Price: $143.25 | Max Pain: $155.00 | Distance: -7.6%
PM    # Price: $157.34 | Max Pain: $170.00 | Distance: -7.4%
CSCO    # Price: $83.16 | Max Pain: $77.50 | Distance: +7.3%
EXE    # Price: $97.31 | Max Pain: $105.00 | Distance: -7.3%
LNT    # Price: $72.46 | Max Pain: $67.50 | Distance: +7.3%
APA    # Price: $37.52 | Max Pain: $35.00 | Distance: +7.2%
CDNS    # Price: $305.52 | Max Pain: $285.00 | Distance: +7.2%
RVTY    # Price: $91.14 | Max Pain: $85.00 | Distance: +7.2%
MSFT    # Price: $412.31 | Max Pain: $385.00 | Distance: +7.1%
DLTR    # Price: $101.23 | Max Pain: $109.00 | Distance: -7.1%
GM    # Price: $78.12 | Max Pain: $84.00 | Distance: -7.0%
HUBB    # Price: $523.59 | Max Pain: $490.00 | Distance: +6.9%
UDR    # Price: $34.93 | Max Pain: $37.50 | Distance: -6.9%
MSTR    # Price: $141.12 | Max Pain: $132.00 | Distance: +6.9%
ATO    # Price: $186.83 | Max Pain: $175.00 | Distance: +6.8%
CRL    # Price: $181.48 | Max Pain: $170.00 | Distance: +6.8%
GL    # Price: $149.47 | Max Pain: $140.00 | Distance: +6.8%
BXP    # Price: $56.00 | Max Pain: $60.00 | Distance: -6.7%
FOXA    # Price: $63.99 | Max Pain: $60.00 | Distance: +6.6%
J    # Price: $126.15 | Max Pain: $135.00 | Distance: -6.6%
MTCH    # Price: $34.65 | Max Pain: $32.50 | Distance: +6.6%
GIS    # Price: $35.04 | Max Pain: $37.50 | Distance: -6.5%
IVZ    # Price: $24.50 | Max Pain: $23.00 | Distance: +6.5%
STT    # Price: $143.71 | Max Pain: $135.00 | Distance: +6.5%
CSX    # Price: $42.53 | Max Pain: $40.00 | Distance: +6.3%
ES    # Price: $69.11 | Max Pain: $65.00 | Distance: +6.3%
BBY    # Price: $63.74 | Max Pain: $60.00 | Distance: +6.2%
HUM    # Price: $196.48 | Max Pain: $185.00 | Distance: +6.2%
TJX    # Price: $159.26 | Max Pain: $150.00 | Distance: +6.2%
ADP    # Price: $199.62 | Max Pain: $212.50 | Distance: -6.1%
REG    # Price: $79.55 | Max Pain: $75.00 | Distance: +6.1%
TSN    # Price: $63.67 | Max Pain: $60.00 | Distance: +6.1%
CBRE    # Price: $148.39 | Max Pain: $140.00 | Distance: +6.0%
FCX    # Price: $68.90 | Max Pain: $65.00 | Distance: +6.0%
NXPI    # Price: $212.09 | Max Pain: $200.00 | Distance: +6.0%
PH    # Price: $964.99 | Max Pain: $910.00 | Distance: +6.0%
FDX    # Price: $370.74 | Max Pain: $350.00 | Distance: +5.9%
FSLR    # Price: $190.48 | Max Pain: $202.50 | Distance: -5.9%
SRE    # Price: $95.32 | Max Pain: $90.00 | Distance: +5.9%
FISV    # Price: $61.35 | Max Pain: $58.00 | Distance: +5.8%
INVH    # Price: $26.44 | Max Pain: $25.00 | Distance: +5.8%
NDSN    # Price: $275.10 | Max Pain: $260.00 | Distance: +5.8%
RL    # Price: $370.43 | Max Pain: $350.00 | Distance: +5.8%
STZ    # Price: $164.05 | Max Pain: $155.00 | Distance: +5.8%
WYNN    # Price: $106.87 | Max Pain: $101.00 | Distance: +5.8%
BALL    # Price: $63.42 | Max Pain: $60.00 | Distance: +5.7%
CHD    # Price: $95.07 | Max Pain: $90.00 | Distance: +5.6%
CNC    # Price: $38.03 | Max Pain: $36.00 | Distance: +5.6%
DOW    # Price: $39.60 | Max Pain: $37.50 | Distance: +5.6%
NI    # Price: $47.51 | Max Pain: $45.00 | Distance: +5.6%
F    # Price: $12.66 | Max Pain: $12.00 | Distance: +5.5%
